strategy,rho,rep,F,P_inf,silencing_rate
random,0.173,6,0.09295,0.93122,0.04658
random,0.173,7,0.16562,0.8597,0.09623
random,0.173,8,0.08947,0.90085,0.00271
random,0.173,9,0.1129,0.90717,0.04825
random,0.173,10,0.09163,1.0,0.06238
random,0.173,11,0.27433,0.88893,0.23662
random,0.173,12,0.16699,1.0,0.05492
random,0.173,13,0.06548,0.99231,0.04381
random,0.173,14,0.0516,0.96013,0.0
random,0.173,15,0.24271,0.88631,0.07657
random,0.173,16,0.12331,0.91303,0.06572
random,0.173,17,0.0,0.96872,0.032
random,0.173,18,0.14973,0.88683,0.07525
random,0.173,19,0.05697,1.0,0.03231
random,0.173,20,0.08328,0.95511,0.00474
random,0.173,21,0.15158,0.89302,0.067
random,0.173,22,0.13951,0.90739,0.1225
random,0.173,23,0.00315,0.92029,0.0
random,0.173,24,0.07979,0.85903,0.05771
random,0.1868,0,0.11887,0.91842,0.14017
random,0.1868,1,0.19445,0.90344,0.06242
random,0.1868,2,0.09316,0.83603,0.0
random,0.1868,3,0.08596,0.95699,0.01101
random,0.1868,4,0.0827,0.91352,0.07716
random,0.1868,5,0.17798,0.88675,0.07819
random,0.1868,6,0.10987,0.86816,0.0771
random,0.1868,7,0.1791,0.881,0.06377
random,0.1868,8,0.01535,0.96288,0.0
random,0.1868,9,0.0,0.97443,0.08076
random,0.1868,10,0.18544,0.97617,0.12602
random,0.1868,11,0.07921,0.98337,0.03504
random,0.1868,12,0.1268,0.88226,0.07441
random,0.1868,13,0.16067,0.85019,0.07398
random,0.1868,14,0.21791,0.84182,0.10381
random,0.1868,15,0.08481,0.88556,0.0
random,0.1868,16,0.06801,0.93148,0.003
random,0.1868,17,0.09945,0.85016,0.09202
random,0.1868,18,0.13981,0.90415,0.14831
random,0.1868,19,0.1478,0.94785,0.04279
random,0.1868,20,0.10335,0.97386,0.04014
random,0.1868,21,0.0609,1.0,0.00619
random,0.1868,22,0.22392,0.83468,0.0
random,0.1868,23,0.15272,0.9083,0.09069
random,0.1868,24,0.07264,0.90267,0.00965
random,0.1923,0,0.05041,0.90777,0.01999
random,0.1923,1,0.05218,0.91958,0.05822
random,0.1923,2,0.0162,0.96348,0.0
random,0.1923,3,0.19469,0.80568,0.10884
random,0.1923,4,0.12516,0.9351,0.03336
random,0.1923,5,0.11904,0.94379,0.08725
random,0.1923,6,0.00355,0.93359,0.0031
random,0.1923,7,0.10412,0.90906,0.01306
random,0.1923,8,0.01769,0.95309,0.05619
random,0.1923,9,0.09747,0.94003,0.04471
random,0.1923,10,0.0,0.87182,0.06834
random,0.1923,11,0.11333,0.94201,0.04305
random,0.1923,12,0.01816,0.99378,0.02424
random,0.1923,13,0.11902,0.95846,0.04053
random,0.1923,14,0.21357,0.88747,0.15437
random,0.1923,15,0.01334,0.92664,0.0
random,0.1923,16,0.1473,0.99349,0.08839
random,0.1923,17,0.07754,0.94763,0.03637
random,0.1923,18,0.14464,0.8325,0.10856
random,0.1923,19,0.12286,0.82896,0.00782
random,0.1923,20,0.0,0.9155,0.02251
random,0.1923,21,0.0,0.8732,0.01382
random,0.1923,22,0.0827,0.99249,0.05912
random,0.1923,23,0.00781,0.91009,0.01774
random,0.1923,24,0.13024,0.87753,0.05218
random,0.2138,0,0.03636,0.90936,0.01296
random,0.2138,1,0.08317,0.83251,0.08668
random,0.2138,2,0.03531,0.96469,0.02154
random,0.2138,3,0.21032,0.83246,0.11096
random,0.2138,4,0.20185,0.89862,0.08653
random,0.2138,5,0.04323,0.8275,0.04936
random,0.2138,6,0.17695,0.86192,0.14577
random,0.2138,7,0.0921,0.83977,0.0633
random,0.2138,8,0.03422,0.85536,0.0
random,0.2138,9,0.12459,0.78329,0.09715
random,0.2138,10,0.06,0.87648,0.06071
random,0.2138,11,0.17308,0.77577,0.06668
random,0.2138,12,0.21935,0.79644,0.22176
random,0.2138,13,0.04478,0.84236,0.04065
random,0.2138,14,0.04048,0.85183,0.02842
random,0.2138,15,0.10938,0.88397,0.01459
random,0.2138,16,0.19518,0.93062,0.08323
random,0.2138,17,0.21484,0.95986,0.04923
random,0.2138,18,0.10167,0.85992,0.04141
random,0.2138,19,0.10349,0.86717,0.03769
random,0.2138,20,0.01351,0.89986,0.06453
random,0.2138,21,0.19732,0.86316,0.15676
random,0.2138,22,0.09574,0.78007,0.05561
random,0.2138,23,0.02203,0.85233,0.01905
random,0.2138,24,0.3222,0.78794,0.17528
random,0.219,0,0.23574,0.92269,0.13368
random,0.219,1,0.15005,0.88637,0.07398
random,0.219,2,0.08625,0.84654,0.07006
random,0.219,3,0.05865,0.92529,0.0
random,0.219,4,0.20159,0.80903,0.15751
random,0.219,5,0.21509,0.88278,0.10527
random,0.219,6,0.15355,0.85402,0.10107
random,0.219,7,0.12438,0.87388,0.07648
random,0.219,8,0.07089,0.93166,0.0
random,0.219,9,0.09284,0.83531,0.0
random,0.219,10,0.11407,0.86156,0.04223
random,0.219,11,0.02652,0.86537,0.0
random,0.219,12,0.19024,0.80229,0.10011
random,0.219,13,0.15349,0.81975,0.02533
random,0.219,14,0.10228,0.91492,0.01757
random,0.219,15,0.14209,0.81638,0.12233
random,0.219,16,0.08056,0.81838,0.0
random,0.219,17,0.19432,0.84789,0.06807
random,0.219,18,0.16035,0.88303,0.03907
random,0.219,19,0.18113,0.86895,0.09316
random,0.219,20,0.07283,0.88143,0.06034
random,0.219,21,0.25802,0.82361,0.17493
random,0.219,22,0.01174,0.83538,0.0564
random,0.219,23,0.19015,0.84623,0.07851
random,0.219,24,0.16224,0.98518,0.07393
random,0.2226,0,0.0,0.90325,0.0
random,0.2226,1,0.05355,0.91695,0.04606
random,0.2226,2,0.13494,0.88075,0.09855
random,0.2226,3,0.10277,0.7862,0.01527
random,0.2226,4,0.40125,0.8808,0.19273
random,0.2226,5,0.16416,0.77762,0.05546
random,0.2226,6,0.13685,0.93643,0.09446
random,0.2226,7,0.08497,0.90193,0.11745
random,0.2226,8,0.16027,0.69171,0.04572
random,0.2226,9,0.1675,0.94401,0.06311
random,0.2226,10,0.0,0.89167,0.02003
random,0.2226,11,0.09316,0.87895,0.0338
random,0.2226,12,0.09404,0.96645,0.01949
random,0.2226,13,0.17761,0.91864,0.07263
random,0.2226,14,0.0,0.80331,0.0
random,0.2226,15,0.21294,0.75824,0.10295
random,0.2226,16,0.25429,0.864,0.1682
random,0.2226,17,0.22531,0.85304,0.06765
random,0.2226,18,0.1191,0.89953,0.05264
random,0.2226,19,0.10577,0.87336,0.00702
random,0.2226,20,0.00512,0.84908,0.03816
random,0.2226,21,0.12745,0.96005,0.06481
random,0.2226,22,0.1196,0.83422,0.08633
random,0.2226,23,0.21546,0.86391,0.17231
random,0.2226,24,0.14183,0.87882,0.09164
random,0.2387,0,0.30595,0.73584,0.17935
random,0.2387,1,0.31436,0.88402,0.15674
random,0.2387,2,0.12722,0.91594,0.13397
random,0.2387,3,0.083,0.82614,0.00344
random,0.2387,4,0.34988,0.7692,0.16959
random,0.2387,5,0.23664,0.81012,0.10309
random,0.2387,6,0.30176,0.8967,0.15711
random,0.2387,7,0.32942,0.91274,0.15366
random,0.2387,8,0.01095,0.8239,0.0
random,0.2387,9,0.06824,0.83481,0.06802
random,0.2387,10,0.11075,0.84759,0.08135
random,0.2387,11,0.23346,0.72542,0.1451
random,0.2387,12,0.18392,0.78278,0.09708
random,0.2387,13,0.14089,0.83423,0.06254
random,0.2387,14,0.1117,0.82163,0.05808
random,0.2387,15,0.1755,0.85006,0.10002
random,0.2387,16,0.14861,0.74912,0.13425
random,0.2387,17,0.11564,0.86019,0.09927
random,0.2387,18,0.13368,0.8368,0.06975
random,0.2387,19,0.0,1.0,0.0
random,0.2387,20,0.19148,0.79577,0.0379
random,0.2387,21,0.15382,0.83143,0.0306
random,0.2387,22,0.04299,0.97301,0.0
random,0.2387,23,0.16381,0.83407,0.09699
random,0.2387,24,0.20022,0.99917,0.09132
random,0.2504,0,0.18238,0.84993,0.02458
random,0.2504,1,0.20988,0.84154,0.13597
random,0.2504,2,0.05154,0.98522,0.0
random,0.2504,3,0.04882,0.8954,0.0
random,0.2504,4,0.212,0.8548,0.07742
random,0.2504,5,0.09428,0.8832,0.07439
random,0.2504,6,0.18637,0.79228,0.10519
random,0.2504,7,0.1971,0.72361,0.07318
random,0.2504,8,0.15828,0.95912,0.13102
random,0.2504,9,0.3168,0.93144,0.1306
random,0.2504,10,0.3046,0.6483,0.14016
random,0.2504,11,0.19236,0.72647,0.10327
random,0.2504,12,0.13548,0.84281,0.11423
random,0.2504,13,0.09453,0.94518,0.01339
random,0.2504,14,0.18989,0.92687,0.1501
random,0.2504,15,0.17043,0.81732,0.05456
random,0.2504,16,0.18653,0.87275,0.14921
random,0.2504,17,0.22784,0.67285,0.10786
random,0.2504,18,0.0,0.65525,0.00777
random,0.2504,19,0.22012,0.72332,0.14651
random,0.2504,20,0.0,0.89874,0.0
random,0.2504,21,0.19091,0.78725,0.04187
random,0.2504,22,0.17205,0.8129,0.08465
random,0.2504,23,0.10583,0.72547,0.10549
random,0.2504,24,0.13695,0.66182,0.02759
random,0.2561,0,0.237,0.74259,0.13046
random,0.2561,1,0.13802,0.83745,0.12831
random,0.2561,2,0.12451,0.90795,0.10467
random,0.2561,3,0.20181,0.81143,0.10517
random,0.2561,4,0.27215,0.76535,0.19118
random,0.2561,5,0.00903,0.66415,0.11407
random,0.2561,6,0.06087,0.66278,0.06293
random,0.2561,7,0.17583,0.92802,0.03906
random,0.2561,8,0.0,0.88211,0.0
random,0.2561,9,0.17432,0.89507,0.0296
random,0.2561,10,0.2777,0.8026,0.11797
random,0.2561,11,0.24418,0.84119,0.0
random,0.2561,12,0.18371,0.85805,0.10428
random,0.2561,13,0.20998,0.75046,0.06543
random,0.2561,14,0.27708,0.77925,0.14357
random,0.2561,15,0.16476,0.85086,0.14426
random,0.2561,16,0.22818,0.86504,0.08186
random,0.2561,17,0.32125,0.82508,0.21839
random,0.2561,18,0.15497,0.69809,0.08747
random,0.2561,19,0.29145,0.80891,0.11174
random,0.2561,20,0.14702,0.77837,0.13736
random,0.2561,21,0.14034,0.7234,0.04333
random,0.2561,22,0.10988,0.82985,0.04725
random,0.2561,23,0.09917,0.79854,0.09598
random,0.2561,24,0.20475,0.95251,0.0709
random,0.2686,0,0.04555,0.89702,0.04295
random,0.2686,1,0.24324,0.81086,0.18562
random,0.2686,2,0.16954,0.63858,0.1052
random,0.2686,3,0.0,0.81397,0.0194
random,0.2686,4,0.20418,0.85443,0.08177
random,0.2686,5,0.31148,0.73417,0.18952
random,0.2686,6,0.40082,0.95103,0.22618
random,0.2686,7,0.23944,0.7907,0.04287
random,0.2686,8,0.04641,0.72459,0.0
random,0.2686,9,0.25738,0.84623,0.11053
random,0.2686,10,0.34822,0.71746,0.13618
random,0.2686,11,0.36535,0.8144,0.10568
random,0.2686,12,0.08955,0.76457,0.08822
random,0.2686,13,0.28881,0.72937,0.17025
random,0.2686,14,0.2472,0.84994,0.07034
random,0.2686,15,0.2839,0.95983,0.14599
random,0.2686,16,0.20702,0.8082,0.08855
random,0.2686,17,0.19101,0.68983,0.10522
random,0.2686,18,0.34836,0.80702,0.16221
random,0.2686,19,0.35632,0.88169,0.19002
random,0.2686,20,0.14286,0.73466,0.02189
random,0.2686,21,0.12415,0.89174,0.03465
random,0.2686,22,0.36326,0.86001,0.09714
random,0.2686,23,0.17772,0.89795,0.0
random,0.2686,24,0.41323,0.62125,0.2045
random,0.3023,0,0.4625,0.87285,0.21696
random,0.3023,1,0.55728,0.70229,0.19131
random,0.3023,2,0.36426,0.7164,0.1075
random,0.3023,3,0.29604,0.90124,0.11966
random,0.3023,4,0.32916,0.5081,0.11124
random,0.3023,5,0.34558,0.84536,0.11487
random,0.3023,6,0.23174,0.715,0.05868
random,0.3023,7,0.48474,0.8359,0.31546
random,0.3023,8,0.43399,0.7739,0.16083
random,0.3023,9,0.43981,0.58829,0.16654
random,0.3023,10,0.23239,0.33186,0.16361
random,0.3023,11,0.36887,0.81445,0.18423
random,0.3023,12,0.36322,0.66597,0.07852
random,0.3023,13,0.30048,0.71866,0.15197
random,0.3023,14,0.45056,0.70054,0.28211
random,0.3023,15,0.19877,0.63704,0.15314
random,0.3023,16,0.29732,0.4994,0.12203
random,0.3023,17,0.48779,0.65332,0.19513
random,0.3023,18,0.24147,0.5732,0.16538
random,0.3023,19,0.05148,0.64089,0.01436
random,0.3023,20,0.18255,0.83768,0.09497
random,0.3023,21,0.18935,0.87989,0.11662
random,0.3023,22,0.50977,0.50733,0.26
random,0.3023,23,0.27012,0.61279,0.12193
random,0.3023,24,0.16834,0.58616,0.04148
random,0.3185,0,0.26142,0.71692,0.10421
random,0.3185,1,0.0,0.74805,0.06102
random,0.3185,2,0.48902,0.63713,0.1598
random,0.3185,3,0.38918,0.52494,0.16785
random,0.3185,4,0.32419,0.58601,0.15199
random,0.3185,5,0.3932,0.58695,0.22679
random,0.3185,6,0.28609,0.68284,0.06493
random,0.3185,7,0.47248,0.53547,0.15077
random,0.3185,8,0.32265,0.87808,0.13057
random,0.3185,9,0.30753,0.44638,0.11497
random,0.3185,10,0.17071,0.71629,0.06278
random,0.3185,11,0.51126,0.72065,0.28658
random,0.3185,12,0.2024,0.67587,0.13082
random,0.3185,13,0.34723,0.55679,0.23218
random,0.3185,14,0.43413,0.49821,0.19618
random,0.3185,15,0.54805,0.70395,0.33611
random,0.3185,16,0.03373,0.80198,0.00527
random,0.3185,17,0.08352,0.6348,0.05619
random,0.3185,18,0.38048,0.63201,0.22837
random,0.3185,19,0.42323,0.57812,0.11773
random,0.3185,20,0.62647,0.6579,0.41109
random,0.3185,21,0.44683,0.58292,0.24093
random,0.3185,22,0.18895,0.37102,0.11752
random,0.3185,23,0.2553,0.60448,0.12624
random,0.3185,24,0.55149,0.59239,0.24305
random,0.3198,0,0.03183,0.93602,0.02504
random,0.3198,1,0.35726,0.74182,0.21743
random,0.3198,2,0.5653,0.93592,0.17208
random,0.3198,3,0.33574,0.59029,0.23159
random,0.3198,4,0.14134,0.56054,0.0803
random,0.3198,5,0.4013,0.51842,0.21154
random,0.3198,6,0.3948,0.6652,0.25281
random,0.3198,7,0.4714,0.71379,0.20986
random,0.3198,8,0.48315,0.63373,0.26581
random,0.3198,9,0.34921,0.61564,0.14431
random,0.3198,10,0.41967,0.59259,0.19506
random,0.3198,11,0.39115,0.59823,0.2296
random,0.3198,12,0.25507,0.65343,0.12369
random,0.3198,13,0.19413,0.49046,0.02248
random,0.3198,14,0.33843,0.46294,0.15239
random,0.3198,15,0.38484,0.63253,0.16143
random,0.3198,16,0.43697,0.63542,0.27622
random,0.3198,17,0.3489,0.52063,0.18106
random,0.3198,18,0.37843,0.46026,0.14518
random,0.3198,19,0.51948,0.61078,0.2003
random,0.3198,20,0.59269,0.66735,0.40509
random,0.3198,21,0.19648,0.71213,0.17253
random,0.3198,22,0.30291,0.61204,0.15687
random,0.3198,23,0.45573,0.74837,0.21942
random,0.3198,24,0.24341,0.68833,0.1172
random,0.3311,0,0.20686,0.55632,0.10751
random,0.3311,1,0.57705,0.46314,0.31115
random,0.3311,2,0.11684,0.46446,0.03273
random,0.3311,3,0.19774,0.42019,0.1663
random,0.3311,4,0.44829,0.39059,0.18394
random,0.3311,5,0.29535,0.61299,0.14074
random,0.3311,6,0.5479,0.53889,0.24273
random,0.3311,7,0.67213,0.58308,0.36142
random,0.3311,8,0.0,0.61028,0.036
random,0.3311,9,0.23558,0.54375,0.08971
random,0.3311,10,0.416,0.64228,0.24263
random,0.3311,11,0.49222,0.72153,0.27734
random,0.3311,12,0.10199,0.5696,0.04616
random,0.3311,13,0.15578,0.74757,0.08739
random,0.3311,14,0.37228,0.65467,0.20104
random,0.3311,15,0.4336,0.73828,0.151
random,0.3311,16,0.42722,0.62057,0.24063
random,0.3311,17,0.31899,0.62292,0.18828
random,0.3311,18,0.36652,0.60619,0.16718
random,0.3311,19,0.29088,0.58806,0.27761
random,0.3311,20,0.34089,0.76359,0.05151
random,0.3311,21,0.41076,0.40507,0.2363
random,0.3311,22,0.39065,0.60984,0.10276
random,0.3311,23,0.5075,0.63644,0.25906
random,0.3311,24,0.59999,0.34362,0.28553
random,0.3556,0,0.55832,0.2135,0.21035
random,0.3556,1,0.59357,0.48527,0.25895
random,0.3556,2,0.49335,0.52097,0.26118
random,0.3556,3,0.41813,0.70576,0.11791
random,0.3556,4,0.64746,0.3785,0.27576
random,0.3556,5,0.41094,0.65326,0.19183
random,0.3556,6,0.4751,0.60343,0.22428
random,0.3556,7,0.3378,0.47512,0.17591
random,0.3556,8,0.40043,0.39106,0.21472
random,0.3556,9,0.73014,0.65036,0.21966
random,0.3556,10,0.45306,0.44803,0.17946
random,0.3556,11,0.62577,0.3959,0.30571
random,0.3556,12,0.49659,0.6603,0.36445
random,0.3556,13,0.23266,0.63003,0.20778
random,0.3556,14,0.41253,0.4993,0.19371
random,0.3556,15,0.42251,0.36369,0.21241
random,0.3556,16,0.44095,0.56352,0.31429
random,0.3556,17,0.32438,0.80164,0.19289
random,0.3556,18,0.29198,0.25389,0.23137
random,0.3556,19,0.62212,0.50228,0.24219
random,0.3556,20,0.32991,0.42176,0.08421
random,0.3556,21,0.32491,0.40283,0.1368
random,0.3556,22,0.43136,0.56218,0.36618
random,0.3556,23,0.53748,0.47235,0.30719
random,0.3556,24,0.61352,0.61783,0.23015
random,0.4473,0,0.64217,0.40027,0.26729
random,0.4473,1,0.63508,0.37706,0.32849
random,0.4473,2,0.63156,0.44715,0.35905
random,0.4473,3,0.6177,0.30462,0.20128
random,0.4473,4,0.59955,0.44845,0.27591
random,0.4473,5,0.69608,0.34906,0.31714
random,0.4473,6,0.74208,0.32195,0.46948
random,0.4473,7,0.63675,0.35734,0.17166
random,0.4473,8,0.63517,0.37508,0.24924
random,0.4473,9,0.66642,0.48785,0.38928
random,0.4473,10,0.59681,0.40778,0.29719
random,0.4473,11,0.51939,0.39633,0.08241
random,0.4473,12,0.64436,0.33534,0.33849
random,0.4473,13,0.51109,0.47491,0.27995
random,0.4473,14,0.61365,0.34904,0.27768
random,0.4473,15,0.64259,0.44478,0.35423
random,0.4473,16,0.62961,0.44496,0.25651
random,0.4473,17,0.60557,0.40423,0.26991
random,0.4473,18,0.57712,0.42136,0.17202
random,0.4473,19,0.66395,0.25633,0.2511
random,0.4473,20,0.67508,0.38271,0.22365
random,0.4473,21,0.60017,0.42145,0.24224
random,0.4473,22,0.60132,0.48741,0.25321
random,0.4473,23,0.59681,0.46088,0.26095
random,0.4473,24,0.64837,0.40533,0.27813
random,0.4559,0,0.53206,0.38736,0.30262
random,0.4559,1,0.73323,0.34521,0.2964
random,0.4559,2,0.58368,0.43418,0.34428
random,0.4559,3,0.5256,0.35751,0.2525
random,0.4559,4,0.61064,0.34096,0.23222
random,0.4559,5,0.70605,0.38859,0.33593
random,0.4559,6,0.58593,0.2663,0.31264
random,0.4559,7,0.4847,0.39733,0.28509
random,0.4559,8,0.7489,0.31472,0.34117
random,0.4559,9,0.61642,0.32969,0.39061
random,0.4559,10,0.74571,0.35753,0.29913
random,0.4559,11,0.58437,0.36539,0.30316
random,0.4559,12,0.59773,0.46868,0.32395
random,0.4559,13,0.65155,0.36304,0.25377
random,0.4559,14,0.71657,0.34055,0.36086
random,0.4559,15,0.58136,0.46841,0.14936
random,0.4559,16,0.55701,0.38654,0.2379
random,0.4559,17,0.59654,0.41098,0.27629
random,0.4559,18,0.62582,0.36921,0.3382
random,0.4559,19,0.63131,0.35657,0.26188
random,0.4559,20,0.68057,0.37589,0.25265
random,0.4559,21,0.68107,0.34021,0.33926
random,0.4559,22,0.62942,0.3709,0.41081
random,0.4559,23,0.7771,0.33111,0.5479
random,0.4559,24,0.63265,0.37364,0.37937
random,0.4664,0,0.63831,0.45013,0.18282
random,0.4664,1,0.71392,0.32472,0.24461
random,0.4664,2,0.57173,0.29842,0.37888
random,0.4664,3,0.66731,0.42305,0.32396
random,0.4664,4,0.59128,0.31899,0.1763
random,0.4664,5,0.61168,0.33683,0.31255
random,0.4664,6,0.72554,0.38111,0.47484
random,0.4664,7,0.54731,0.41165,0.27756
random,0.4664,8,0.61129,0.25886,0.28081
random,0.4664,9,0.67633,0.32102,0.403
random,0.4664,10,0.5839,0.32614,0.29226
random,0.4664,11,0.70782,0.39266,0.37122
random,0.4664,12,0.58904,0.26402,0.32788
random,0.4664,13,0.66917,0.33872,0.34062
random,0.4664,14,0.56885,0.30189,0.27036
random,0.4664,15,0.7336,0.3075,0.23145
random,0.4664,16,0.74518,0.34956,0.30636
random,0.4664,17,0.59178,0.39341,0.2009
random,0.4664,18,0.70698,0.37375,0.27186
random,0.4664,19,0.58398,0.35631,0.40715
random,0.4664,20,0.72248,0.37424,0.29294
random,0.4664,21,0.62478,0.32598,0.26913
random,0.4664,22,0.66184,0.37548,0.45938
random,0.4664,23,0.69885,0.34882,0.39472
random,0.4664,24,0.64849,0.31435,0.31572
random,0.5145,0,0.71434,0.49848,0.43982
random,0.5145,1,0.7032,0.38553,0.35437
random,0.5145,2,0.6972,0.3611,0.33511
random,0.5145,3,0.72821,0.32181,0.53417
random,0.5145,4,0.67251,0.33663,0.2798
random,0.5145,5,0.54389,0.28327,0.33982
random,0.5145,6,0.74358,0.33501,0.52415
random,0.5145,7,0.6619,0.30038,0.32356
random,0.5145,8,0.68927,0.29991,0.43012
random,0.5145,9,0.68583,0.3401,0.30432
random,0.5145,10,0.68758,0.3224,0.39252
random,0.5145,11,0.70655,0.34777,0.47712
random,0.5145,12,0.61985,0.39629,0.29276
random,0.5145,13,0.64626,0.40904,0.25994
random,0.5145,14,0.69352,0.20571,0.29312
random,0.5145,15,0.7156,0.30223,0.25953
random,0.5145,16,0.69257,0.28311,0.27963
random,0.5145,17,0.76971,0.27953,0.2893
random,0.5145,18,0.69662,0.32267,0.15755
random,0.5145,19,0.67557,0.2989,0.13223
random,0.5145,20,0.72731,0.35003,0.2822
random,0.5145,21,0.65803,0.33579,0.33419
random,0.5145,22,0.60994,0.36662,0.31445
random,0.5145,23,0.70604,0.34796,0.38625
random,0.5145,24,0.65236,0.3085,0.33106
random,0.5234,0,0.66482,0.3946,0.39103
random,0.5234,1,0.71855,0.36178,0.42388
random,0.5234,2,0.6958,0.28906,0.42345
random,0.5234,3,0.68514,0.33936,0.29256
random,0.5234,4,0.6479,0.30669,0.33356
random,0.5234,5,0.66913,0.25449,0.20338
random,0.5234,6,0.64452,0.36901,0.32221
random,0.5234,7,0.75288,0.33314,0.43799
random,0.5234,8,0.64111,0.30357,0.23568
random,0.5234,9,0.65417,0.27857,0.27287
random,0.5234,10,0.72511,0.2661,0.39216
random,0.5234,11,0.61263,0.34852,0.29977
random,0.5234,12,0.68083,0.36406,0.37379
random,0.5234,13,0.67409,0.29961,0.35547
random,0.5234,14,0.64707,0.30787,0.18514
random,0.5234,15,0.73586,0.26988,0.43628
random,0.5234,16,0.68944,0.34494,0.40653
random,0.5234,17,0.55073,0.35118,0.32565
random,0.5234,18,0.76915,0.31043,0.30734
random,0.5234,19,0.63327,0.28215,0.28534
random,0.5234,20,0.71006,0.29104,0.45349
random,0.5234,21,0.70307,0.27942,0.2513
random,0.5234,22,0.58936,0.31489,0.30961
random,0.5234,23,0.66447,0.35715,0.28182
random,0.5234,24,0.70502,0.38867,0.29209
random,0.5376,0,0.65764,0.28279,0.30941
random,0.5376,1,0.77788,0.28565,0.25962
random,0.5376,2,0.69496,0.26153,0.24356
random,0.5376,3,0.61473,0.39677,0.2489
random,0.5376,4,0.68278,0.27989,0.26434
random,0.5376,5,0.63538,0.24645,0.29576
random,0.5376,6,0.57689,0.24118,0.32402
random,0.5376,7,0.60557,0.29118,0.1602
random,0.5376,8,0.7305,0.28961,0.28863
random,0.5376,9,0.718,0.32715,0.28877
random,0.5376,10,0.69115,0.31004,0.45051
random,0.5376,11,0.73951,0.32278,0.27255
random,0.5376,12,0.59203,0.34878,0.33549
random,0.5376,13,0.64119,0.28224,0.34907
random,0.5376,14,0.68896,0.38796,0.43676
random,0.5376,15,0.70992,0.32053,0.22829
random,0.5376,16,0.72867,0.25565,0.28258
random,0.5376,17,0.62967,0.32335,0.16697
random,0.5376,18,0.79334,0.33689,0.43304
random,0.5376,19,0.63138,0.2819,0.28875
random,0.5376,20,0.69097,0.27399,0.22263
random,0.5376,21,0.65787,0.35757,0.38373
random,0.5376,22,0.68721,0.31984,0.35233
random,0.5376,23,0.73837,0.31515,0.26962
random,0.5376,24,0.61865,0.3023,0.35256
random,0.5539,0,0.76662,0.27145,0.41979
random,0.5539,1,0.77884,0.32785,0.32497
random,0.5539,2,0.66566,0.33874,0.24877
random,0.5539,3,0.65361,0.29238,0.25056
random,0.5539,4,0.72603,0.2905,0.35022
random,0.5539,5,0.58494,0.28384,0.33446
random,0.5539,6,0.65679,0.26695,0.25463
random,0.5539,7,0.67104,0.31227,0.29367
random,0.5539,8,0.61115,0.37386,0.16907
random,0.5539,9,0.69151,0.30701,0.41826
random,0.5539,10,0.65702,0.30234,0.17038
random,0.5539,11,0.66811,0.25348,0.31318
random,0.5539,12,0.69007,0.27523,0.29788
random,0.5539,13,0.77761,0.23093,0.29754
random,0.5539,14,0.69027,0.31274,0.22481
random,0.5539,15,0.60411,0.2645,0.29394
random,0.5539,16,0.74047,0.25291,0.37302
random,0.5539,17,0.68954,0.2751,0.43833
random,0.5539,18,0.6026,0.23646,0.36296
random,0.5539,19,0.70598,0.35161,0.42505
random,0.5539,20,0.68754,0.25485,0.37893
random,0.5539,21,0.67832,0.24933,0.35088
random,0.5539,22,0.7139,0.2776,0.24111
random,0.5539,23,0.68976,0.29726,0.42998
random,0.5539,24,0.74229,0.31394,0.35501
random,0.5931,0,0.77918,0.30011,0.49725
random,0.5931,1,0.7446,0.29853,0.27262
random,0.5931,2,0.77564,0.27906,0.41949
random,0.5931,3,0.87813,0.34353,0.52438
random,0.5931,4,0.70115,0.30937,0.21818
random,0.5931,5,0.7217,0.35037,0.25839
random,0.5931,6,0.70562,0.27613,0.26626
random,0.5931,7,0.63566,0.20596,0.30365
random,0.5931,8,0.7422,0.33925,0.3077
random,0.5931,9,0.69045,0.33694,0.27443
random,0.5931,10,0.80427,0.33771,0.4071
random,0.5931,11,0.71807,0.2397,0.31512
random,0.5931,12,0.67229,0.30397,0.29012
random,0.5931,13,0.62299,0.27401,0.30034
random,0.5931,14,0.77474,0.20423,0.3407
random,0.5931,15,0.72216,0.23496,0.36484
random,0.5931,16,0.64412,0.33005,0.45114
random,0.5931,17,0.71132,0.28485,0.27843
random,0.5931,18,0.71116,0.29222,0.45382
random,0.5931,19,0.70527,0.26891,0.19984
random,0.5931,20,0.73128,0.34137,0.24885
random,0.5931,21,0.65194,0.29855,0.25851
random,0.5931,22,0.66384,0.20682,0.23061
random,0.5931,23,0.61797,0.32624,0.23962
random,0.5931,24,0.76606,0.35276,0.3125
degree,0.0197,0,0.14571,0.85926,0.13109
degree,0.0197,1,0.08586,0.91155,0.03467
degree,0.0197,2,0.01585,0.95597,0.0
degree,0.0197,3,0.07117,0.9909,0.00486
degree,0.0197,4,0.19423,0.8358,0.03074
degree,0.0197,5,0.19647,0.84172,0.0999
degree,0.0197,6,0.04034,0.96665,0.02621
degree,0.0197,7,0.09021,0.8929,0.06537
degree,0.0197,8,0.12916,0.87269,0.02625
degree,0.0197,9,0.1338,0.90727,0.11189
degree,0.0197,10,0.10105,0.86598,0.05204
degree,0.0197,11,0.0,0.92843,0.0
degree,0.0197,12,0.02635,0.98851,0.02291
degree,0.0197,13,0.05227,0.88961,0.0
degree,0.0197,14,0.03168,0.84527,0.0
degree,0.0197,15,0.1033,0.96382,0.10109
degree,0.0197,16,0.12657,0.87993,0.11079
